id,name,artists,release_date,language,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",2023-06-02,AR,0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,audio_features,spotify:track:6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467,4
3xvzR05d6KgexfzjJgDRDl,Pop like this Pt. 2 - Slowed,prodbycpkshawn,2024-05-29,AR,0.772,0.423,1,-8.452,1,0.0562,0.00905,0.516,0.14,0.281,157.156,audio_features,spotify:track:3xvzR05d6KgexfzjJgDRDl,https://api.spotify.com/v1/tracks/3xvzR05d6KgexfzjJgDRDl,https://api.spotify.com/v1/audio-analysis/3xvzR05d6KgexfzjJgDRDl,122187,4
4GssB27iJeqmfGxS94Tfij,Popular Monster,Falling In Reverse,2019-11-20,AR,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,audio_features,spotify:track:4GssB27iJeqmfGxS94Tfij,https://api.spotify.com/v1/tracks/4GssB27iJeqmfGxS94Tfij,https://api.spotify.com/v1/audio-analysis/4GssB27iJeqmfGxS94Tfij,220537,4
2Ct0MnmqHDvjLqpi5gxcSM,Pop like this Pt. 2,prodbycpkshawn,2024-05-29,AR,0.842,0.461,1,-5.189,1,0.0675,0.000624,0.623,0.0545,0.48,100.001,audio_features,spotify:track:2Ct0MnmqHDvjLqpi5gxcSM,https://api.spotify.com/v1/tracks/2Ct0MnmqHDvjLqpi5gxcSM,https://api.spotify.com/v1/audio-analysis/2Ct0MnmqHDvjLqpi5gxcSM,99657,4
6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),"Polo G, Lil Tjay",2019-06-07,AR,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,audio_features,spotify:track:6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/tracks/6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1,166560,4
3lOMJTQTd6J34faYwASc33,POP!,NAYEON,2022-06-24,AR,0.795,0.859,2,-2.994,1,0.0542,0.0361,0.0,0.0321,0.356,96.986,audio_features,spotify:track:3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/tracks/3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/audio-analysis/3lOMJTQTd6J34faYwASc33,168107,4
3wn8nOygkHLUQ9dlXM1rKW,Poppin,Yeat,2022-02-18,AR,0.705,0.613,7,-7.441,1,0.123,0.262,6.97e-06,0.198,0.259,74.521,audio_features,spotify:track:3wn8nOygkHLUQ9dlXM1rKW,https://api.spotify.com/v1/tracks/3wn8nOygkHLUQ9dlXM1rKW,https://api.spotify.com/v1/audio-analysis/3wn8nOygkHLUQ9dlXM1rKW,167187,4
57Pk2GU0ABFYBbbcgYxqki,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003","Stephen Schwartz, Kristin Chenoweth, Stephen Oremus, Alex Lacamoire",2013-01-01,AR,0.711,0.228,0,-12.85,1,0.172,0.776,0.0,0.122,0.548,88.714,audio_features,spotify:track:57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/tracks/57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/audio-analysis/57Pk2GU0ABFYBbbcgYxqki,224387,4
47yD0e9MCRIB8dgUXPfyW3,pop ur shit,"21 Savage, Young Thug, Metro Boomin",2024-01-12,AR,0.853,0.533,4,-6.647,1,0.126,0.263,0.00406,0.134,0.306,123.066,audio_features,spotify:track:47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/tracks/47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/audio-analysis/47yD0e9MCRIB8dgUXPfyW3,193320,4
79s5XnCN4TJKTVMSmOx8Ep,Dior,Pop Smoke,2019-07-26,AR,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,audio_features,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep,216387,4
4BLbZo3DCqQXMzogWV1GNP,POPTHATRUNK,"1nonly, Freddie Dredd",2023-08-25,AR,0.73,0.782,10,-3.884,0,0.05,0.0766,0.0338,0.106,0.593,180.068,audio_features,spotify:track:4BLbZo3DCqQXMzogWV1GNP,https://api.spotify.com/v1/tracks/4BLbZo3DCqQXMzogWV1GNP,https://api.spotify.com/v1/audio-analysis/4BLbZo3DCqQXMzogWV1GNP,133333,4
26Fx8UbsC0BV4J1CdtuLAy,Pop,OsamaSon,2023-12-08,AR,0.588,0.484,8,-7.058,0,0.153,0.0219,0.0,0.156,0.337,161.178,audio_features,spotify:track:26Fx8UbsC0BV4J1CdtuLAy,https://api.spotify.com/v1/tracks/26Fx8UbsC0BV4J1CdtuLAy,https://api.spotify.com/v1/audio-analysis/26Fx8UbsC0BV4J1CdtuLAy,109430,4
